,date,employees_oil_extraction,imports,inflation,GPR_TURKEY,GPR_MEXICO,GPR_KOREA,GPR_RUSSIA,GPR_INDIA,GPR_BRAZIL,GPR_CHINA,GPR_INDONESIA,GPR_SAUDI_ARABIA,GPR_SOUTH_AFRICA,GPR_ARGENTINA,GPR_COLOMBIA,GPR_VENEZUELA,GPR_THAILAND,GPR_UKRAINE,GPR_ISRAEL,GPR_MALAYSIA,GPR_PHILIPPINES,GPR_HONG_KONG
0,1972-01-01 00:00:00,141.2,4.741,3.27227824655283,,,,,,,,,,,,,,,,,,,
1,1972-02-01 00:00:00,140.9,,,,,,,,,,,,,,,,,,,,,
2,1972-03-01 00:00:00,140.8,,,,,,,,,,,,,,,,,,,,,
3,1972-04-01 00:00:00,140.2,,,,,,,,,,,,,,,,,,,,,
4,1972-05-01 00:00:00,139.6,,,,,,,,,,,,,,,,,,,,,
5,1972-06-01 00:00:00,139.5,,,,,,,,,,,,,,,,,,,,,
6,1972-07-01 00:00:00,139.0,,,,,,,,,,,,,,,,,,,,,
7,1972-08-01 00:00:00,138.4,,,,,,,,,,,,,,,,,,,,,
8,1972-09-01 00:00:00,137.3,,,,,,,,,,,,,,,,,,,,,
9,1972-10-01 00:00:00,137.5,,,,,,,,,,,,,,,,,,,,,
10,1972-11-01 00:00:00,137.0,,,,,,,,,,,,,,,,,,,,,
11,1972-12-01 00:00:00,137.7,,,,,,,,,,,,,,,,,,,,,
12,1973-01-01 00:00:00,136.3,6.256,6.17776006377041,,,,,,,,,,,,,,,,,,,
13,1973-02-01 00:00:00,136.3,,,,,,,,,,,,,,,,,,,,,
14,1973-03-01 00:00:00,136.1,,,,,,,,,,,,,,,,,,,,,
15,1973-04-01 00:00:00,135.8,,,,,,,,,,,,,,,,,,,,,
16,1973-05-01 00:00:00,135.6,,,,,,,,,,,,,,,,,,,,,
17,1973-06-01 00:00:00,135.0,,,,,,,,,,,,,,,,,,,,,
18,1973-07-01 00:00:00,134.8,,,,,,,,,,,,,,,,,,,,,
19,1973-08-01 00:00:00,133.8,,,,,,,,,,,,,,,,,,,,,
20,1973-09-01 00:00:00,134.6,,,,,,,,,,,,,,,,,,,,,
21,1973-10-01 00:00:00,134.3,,,,,,,,,,,,,,,,,,,,,
22,1973-11-01 00:00:00,135.2,,,,,,,,,,,,,,,,,,,,,
23,1973-12-01 00:00:00,135.5,,,,,,,,,,,,,,,,,,,,,
24,1974-01-01 00:00:00,136.3,6.112,11.0548048048048,,,,,,,,,,,,,,,,,,,
25,1974-02-01 00:00:00,136.6,,,,,,,,,,,,,,,,,,,,,
26,1974-03-01 00:00:00,137.1,,,,,,,,,,,,,,,,,,,,,
27,1974-04-01 00:00:00,137.8,,,,,,,,,,,,,,,,,,,,,
28,1974-05-01 00:00:00,138.7,,,,,,,,,,,,,,,,,,,,,
29,1974-06-01 00:00:00,138.9,,,,,,,,,,,,,,,,,,,,,
30,1974-07-01 00:00:00,140.5,,,,,,,,,,,,,,,,,,,,,
31,1974-08-01 00:00:00,141.8,,,,,,,,,,,,,,,,,,,,,
32,1974-09-01 00:00:00,142.6,,,,,,,,,,,,,,,,,,,,,
33,1974-10-01 00:00:00,144.1,,,,,,,,,,,,,,,,,,,,,
34,1974-11-01 00:00:00,144.8,,,,,,,,,,,,,,,,,,,,,
35,1974-12-01 00:00:00,145.7,,,,,,,,,,,,,,,,,,,,,
36,1975-01-01 00:00:00,146.8,6.056,9.14314686496534,,,,,,,,,,,,,,,,,,,
37,1975-02-01 00:00:00,146.5,,,,,,,,,,,,,,,,,,,,,
38,1975-03-01 00:00:00,148.1,,,,,,,,,,,,,,,,,,,,,
39,1975-04-01 00:00:00,149.4,,,,,,,,,,,,,,,,,,,,,
40,1975-05-01 00:00:00,150.2,,,,,,,,,,,,,,,,,,,,,
41,1975-06-01 00:00:00,150.6,,,,,,,,,,,,,,,,,,,,,
42,1975-07-01 00:00:00,151.4,,,,,,,,,,,,,,,,,,,,,
43,1975-08-01 00:00:00,151.8,,,,,,,,,,,,,,,,,,,,,
44,1975-09-01 00:00:00,152.8,,,,,,,,,,,,,,,,,,,,,
45,1975-10-01 00:00:00,153.3,,,,,,,,,,,,,,,,,,,,,
46,1975-11-01 00:00:00,153.5,,,,,,,,,,,,,,,,,,,,,
47,1975-12-01 00:00:00,154.2,,,,,,,,,,,,,,,,,,,,,
48,1976-01-01 00:00:00,154.9,7.313,5.74481263549085,,,,,,,,,,,,,,,,,,,
49,1976-02-01 00:00:00,155.5,,,,,,,,,,,,,,,,,,,,,
50,1976-03-01 00:00:00,155.5,,,,,,,,,,,,,,,,,,,,,
51,1976-04-01 00:00:00,155.4,,,,,,,,,,,,,,,,,,,,,
52,1976-05-01 00:00:00,155.6,,,,,,,,,,,,,,,,,,,,,
53,1976-06-01 00:00:00,156.6,,,,,,,,,,,,,,,,,,,,,
54,1976-07-01 00:00:00,156.8,,,,,,,,,,,,,,,,,,,,,
55,1976-08-01 00:00:00,157.0,,,,,,,,,,,,,,,,,,,,,
56,1976-09-01 00:00:00,157.0,,,,,,,,,,,,,,,,,,,,,
57,1976-10-01 00:00:00,157.2,,,,,,,,,,,,,,,,,,,,,
58,1976-11-01 00:00:00,157.8,,,,,,,,,,,,,,,,,,,,,
59,1976-12-01 00:00:00,158.8,,,,,,,,,,,,,,,,,,,,,
60,1977-01-01 00:00:00,159.0,8.807,6.50168399472839,,,,,,,,,,,,,,,,,,,
61,1977-02-01 00:00:00,159.6,,,,,,,,,,,,,,,,,,,,,
62,1977-03-01 00:00:00,160.8,,,,,,,,,,,,,,,,,,,,,
63,1977-04-01 00:00:00,162.1,,,,,,,,,,,,,,,,,,,,,
64,1977-05-01 00:00:00,163.3,,,,,,,,,,,,,,,,,,,,,
65,1977-06-01 00:00:00,164.0,,,,,,,,,,,,,,,,,,,,,
66,1977-07-01 00:00:00,165.3,,,,,,,,,,,,,,,,,,,,,
67,1977-08-01 00:00:00,166.5,,,,,,,,,,,,,,,,,,,,,
68,1977-09-01 00:00:00,167.9,,,,,,,,,,,,,,,,,,,,,
69,1977-10-01 00:00:00,169.2,,,,,,,,,,,,,,,,,,,,,
70,1977-11-01 00:00:00,170.5,,,,,,,,,,,,,,,,,,,,,
71,1977-12-01 00:00:00,171.3,,,,,,,,,,,,,,,,,,,,,
72,1978-01-01 00:00:00,172.3,8.363,7.63096383885602,,,,,,,,,,,,,,,,,,,
73,1978-02-01 00:00:00,173.2,,,,,,,,,,,,,,,,,,,,,
74,1978-03-01 00:00:00,174.5,,,,,,,,,,,,,,,,,,,,,
75,1978-04-01 00:00:00,175.0,,,,,,,,,,,,,,,,,,,,,
76,1978-05-01 00:00:00,174.6,,,,,,,,,,,,,,,,,,,,,
77,1978-06-01 00:00:00,176.8,,,,,,,,,,,,,,,,,,,,,
78,1978-07-01 00:00:00,177.1,,,,,,,,,,,,,,,,,,,,,
79,1978-08-01 00:00:00,178.2,,,,,,,,,,,,,,,,,,,,,
80,1978-09-01 00:00:00,179.2,,,,,,,,,,,,,,,,,,,,,
81,1978-10-01 00:00:00,179.9,,,,,,,,,,,,,,,,,,,,,
82,1978-11-01 00:00:00,181.0,,,,,,,,,,,,,,,,,,,,,
83,1978-12-01 00:00:00,181.7,,,,,,,,,,,,,,,,,,,,,
84,1979-01-01 00:00:00,183.5,8.456,11.2544711292795,,,,,,,,,,,,,,,,,,,
85,1979-02-01 00:00:00,185.4,,,,,,,,,,,,,,,,,,,,,
86,1979-03-01 00:00:00,186.4,,,,,,,,,,,,,,,,,,,,,
87,1979-04-01 00:00:00,187.9,,,,,,,,,,,,,,,,,,,,,
88,1979-05-01 00:00:00,189.0,,,,,,,,,,,,,,,,,,,,,
89,1979-06-01 00:00:00,191.4,,,,,,,,,,,,,,,,,,,,,
90,1979-07-01 00:00:00,192.5,,,,,,,,,,,,,,,,,,,,,
91,1979-08-01 00:00:00,194.1,,,,,,,,,,,,,,,,,,,,,
92,1979-09-01 00:00:00,195.5,,,,,,,,,,,,,,,,,,,,,
93,1979-10-01 00:00:00,197.4,,,,,,,,,,,,,,,,,,,,,
94,1979-11-01 00:00:00,199.4,,,,,,,,,,,,,,,,,,,,,
95,1979-12-01 00:00:00,201.4,,,,,,,,,,,,,,,,,,,,,
96,1980-01-01 00:00:00,203.4,6.909,13.5492019749684,,,,,,,,,,,,,,,,,,,
97,1980-02-01 00:00:00,204.5,,,,,,,,,,,,,,,,,,,,,
98,1980-03-01 00:00:00,206.8,,,,,,,,,,,,,,,,,,,,,
99,1980-04-01 00:00:00,211.1,,,,,,,,,,,,,,,,,,,,,
100,1980-05-01 00:00:00,214.4,,,,,,,,,,,,,,,,,,,,,
101,1980-06-01 00:00:00,217.2,,,,,,,,,,,,,,,,,,,,,
102,1980-07-01 00:00:00,220.5,,,,,,,,,,,,,,,,,,,,,
103,1980-08-01 00:00:00,223.2,,,,,,,,,,,,,,,,,,,,,
104,1980-09-01 00:00:00,225.9,,,,,,,,,,,,,,,,,,,,,
105,1980-10-01 00:00:00,229.5,,,,,,,,,,,,,,,,,,,,,
106,1980-11-01 00:00:00,231.5,,,,,,,,,,,,,,,,,,,,,
107,1980-12-01 00:00:00,234.4,,,,,,,,,,,,,,,,,,,,,
