DATE,CES1021100001
1972-01-01,141.2
1972-02-01,140.9
1972-03-01,140.8
1972-04-01,140.2
1972-05-01,139.6
1972-06-01,139.5
1972-07-01,139.0
1972-08-01,138.4
1972-09-01,137.3
1972-10-01,137.5
1972-11-01,137.0
1972-12-01,137.7
1973-01-01,136.3
1973-02-01,136.3
1973-03-01,136.1
1973-04-01,135.8
1973-05-01,135.6
1973-06-01,135.0
1973-07-01,134.8
1973-08-01,133.8
1973-09-01,134.6
1973-10-01,134.3
1973-11-01,135.2
1973-12-01,135.5
1974-01-01,136.3
1974-02-01,136.6
1974-03-01,137.1
1974-04-01,137.8
1974-05-01,138.7
1974-06-01,138.9
1974-07-01,140.5
1974-08-01,141.8
1974-09-01,142.6
1974-10-01,144.1
1974-11-01,144.8
1974-12-01,145.7
1975-01-01,146.8
1975-02-01,146.5
1975-03-01,148.1
1975-04-01,149.4
1975-05-01,150.2
1975-06-01,150.6
1975-07-01,151.4
1975-08-01,151.8
1975-09-01,152.8
1975-10-01,153.3
1975-11-01,153.5
1975-12-01,154.2
1976-01-01,154.9
1976-02-01,155.5
1976-03-01,155.5
1976-04-01,155.4
1976-05-01,155.6
1976-06-01,156.6
1976-07-01,156.8
1976-08-01,157.0
1976-09-01,157.0
1976-10-01,157.2
1976-11-01,157.8
1976-12-01,158.8
1977-01-01,159.0
1977-02-01,159.6
1977-03-01,160.8
1977-04-01,162.1
1977-05-01,163.3
1977-06-01,164.0
1977-07-01,165.3
1977-08-01,166.5
1977-09-01,167.9
1977-10-01,169.2
1977-11-01,170.5
1977-12-01,171.3
1978-01-01,172.3
1978-02-01,173.2
1978-03-01,174.5
1978-04-01,175.0
1978-05-01,174.6
1978-06-01,176.8
1978-07-01,177.1
1978-08-01,178.2
1978-09-01,179.2
1978-10-01,179.9
1978-11-01,181.0
1978-12-01,181.7
1979-01-01,183.5
1979-02-01,185.4
1979-03-01,186.4
1979-04-01,187.9
1979-05-01,189.0
1979-06-01,191.4
1979-07-01,192.5
1979-08-01,194.1
1979-09-01,195.5
1979-10-01,197.4
1979-11-01,199.4
1979-12-01,201.4
1980-01-01,203.4
1980-02-01,204.5
1980-03-01,206.8
1980-04-01,211.1
1980-05-01,214.4
1980-06-01,217.2
1980-07-01,220.5
1980-08-01,223.2
1980-09-01,225.9
1980-10-01,229.5
1980-11-01,231.5
1980-12-01,234.4
1981-01-01,237.5
1981-02-01,241.0
1981-03-01,243.6
1981-04-01,246.6
1981-05-01,248.4
1981-06-01,253.6
1981-07-01,257.3
1981-08-01,259.1
1981-09-01,260.1
1981-10-01,261.6
1981-11-01,263.5
1981-12-01,265.1
1982-01-01,266.0
1982-02-01,266.3
1982-03-01,267.0
1982-04-01,265.8
1982-05-01,265.5
1982-06-01,264.9
1982-07-01,265.0
1982-08-01,264.8
1982-09-01,263.9
1982-10-01,262.8
1982-11-01,262.0
1982-12-01,261.3
1983-01-01,260.1
1983-02-01,258.0
1983-03-01,256.4
1983-04-01,256.3
1983-05-01,255.7
1983-06-01,254.7
1983-07-01,254.9
1983-08-01,254.7
1983-09-01,254.7
1983-10-01,254.4
1983-11-01,254.5
1983-12-01,253.7
1984-01-01,252.9
1984-02-01,253.5
1984-03-01,253.3
1984-04-01,253.5
1984-05-01,253.7
1984-06-01,253.4
1984-07-01,252.1
1984-08-01,251.0
1984-09-01,250.6
1984-10-01,250.7
1984-11-01,249.9
1984-12-01,249.0
1985-01-01,248.5
1985-02-01,247.7
1985-03-01,247.0
1985-04-01,246.6
1985-05-01,245.7
1985-06-01,245.7
1985-07-01,245.0
1985-08-01,244.9
1985-09-01,243.7
1985-10-01,241.9
1985-11-01,240.3
1985-12-01,239.9
1986-01-01,236.7
1986-02-01,233.4
1986-03-01,230.8
1986-04-01,225.5
1986-05-01,219.8
1986-06-01,216.5
1986-07-01,215.4
1986-08-01,209.4
1986-09-01,204.2
1986-10-01,204.3
1986-11-01,203.0
1986-12-01,200.1
1987-01-01,199.3
1987-02-01,198.3
1987-03-01,197.6
1987-04-01,197.3
1987-05-01,197.3
1987-06-01,196.3
1987-07-01,197.2
1987-08-01,197.2
1987-09-01,198.2
1987-10-01,198.9
1987-11-01,198.7
1987-12-01,199.6
1988-01-01,196.8
1988-02-01,196.4
1988-03-01,196.3
1988-04-01,195.6
1988-05-01,195.1
1988-06-01,193.7
1988-07-01,194.0
1988-08-01,193.9
1988-09-01,193.2
1988-10-01,193.1
1988-11-01,193.1
1988-12-01,192.9
1989-01-01,192.5
1989-02-01,191.7
1989-03-01,191.6
1989-04-01,191.8
1989-05-01,191.3
1989-06-01,191.7
1989-07-01,190.9
1989-08-01,190.7
1989-09-01,190.2
1989-10-01,189.6
1989-11-01,189.3
1989-12-01,190.2
1990-01-01,191.3
1990-02-01,191.9
1990-03-01,191.0
1990-04-01,190.8
1990-05-01,190.8
1990-06-01,190.3
1990-07-01,190.8
1990-08-01,190.4
1990-09-01,190.5
1990-10-01,188.4
1990-11-01,188.1
1990-12-01,189.0
1991-01-01,190.6
1991-02-01,191.0
1991-03-01,190.3
1991-04-01,190.1
1991-05-01,190.7
1991-06-01,192.0
1991-07-01,192.2
1991-08-01,192.6
1991-09-01,191.9
1991-10-01,191.3
1991-11-01,190.2
1991-12-01,189.1
1992-01-01,188.3
1992-02-01,188.3
1992-03-01,188.4
1992-04-01,187.6
1992-05-01,186.9
1992-06-01,183.7
1992-07-01,182.0
1992-08-01,178.8
1992-09-01,173.8
1992-10-01,175.8
1992-11-01,175.8
1992-12-01,175.6
1993-01-01,175.2
1993-02-01,173.5
1993-03-01,172.8
1993-04-01,172.2
1993-05-01,171.5
1993-06-01,171.0
1993-07-01,169.4
1993-08-01,169.9
1993-09-01,169.3
1993-10-01,168.8
1993-11-01,169.2
1993-12-01,167.0
1994-01-01,166.3
1994-02-01,164.7
1994-03-01,164.2
1994-04-01,163.0
1994-05-01,162.7
1994-06-01,161.7
1994-07-01,161.2
1994-08-01,162.1
1994-09-01,163.7
1994-10-01,161.3
1994-11-01,159.8
1994-12-01,158.4
1995-01-01,156.3
1995-02-01,154.8
1995-03-01,153.8
1995-04-01,153.2
1995-05-01,152.5
1995-06-01,151.8
1995-07-01,150.8
1995-08-01,150.4
1995-09-01,150.2
1995-10-01,150.0
1995-11-01,148.9
1995-12-01,148.4
1996-01-01,147.9
1996-02-01,148.1
1996-03-01,147.9
1996-04-01,148.5
1996-05-01,148.8
1996-06-01,147.9
1996-07-01,147.6
1996-08-01,146.7
1996-09-01,144.9
1996-10-01,145.1
1996-11-01,145.4
1996-12-01,145.0
1997-01-01,145.8
1997-02-01,146.6
1997-03-01,145.0
1997-04-01,144.4
1997-05-01,143.9
1997-06-01,143.6
1997-07-01,144.0
1997-08-01,143.3
1997-09-01,142.9
1997-10-01,142.9
1997-11-01,143.3
1997-12-01,143.1
1998-01-01,141.8
1998-02-01,141.8
1998-03-01,141.8
1998-04-01,141.2
1998-05-01,140.3
1998-06-01,141.3
1998-07-01,140.7
1998-08-01,140.9
1998-09-01,140.5
1998-10-01,139.8
1998-11-01,139.2
1998-12-01,139.5
1999-01-01,138.2
1999-02-01,137.0
1999-03-01,136.8
1999-04-01,133.8
1999-05-01,131.0
1999-06-01,128.2
1999-07-01,129.6
1999-08-01,129.7
1999-09-01,128.4
1999-10-01,128.2
1999-11-01,127.5
1999-12-01,126.4
2000-01-01,126.1
2000-02-01,126.8
2000-03-01,125.4
2000-04-01,125.6
2000-05-01,125.7
2000-06-01,125.6
2000-07-01,124.5
2000-08-01,123.8
2000-09-01,124.3
2000-10-01,124.6
2000-11-01,123.6
2000-12-01,122.9
2001-01-01,123.5
2001-02-01,122.9
2001-03-01,123.4
2001-04-01,123.5
2001-05-01,123.8
2001-06-01,123.4
2001-07-01,124.3
2001-08-01,124.2
2001-09-01,124.7
2001-10-01,123.0
2001-11-01,123.9
2001-12-01,124.7
2002-01-01,124.6
2002-02-01,125.5
2002-03-01,123.5
2002-04-01,121.9
2002-05-01,121.9
2002-06-01,121.7
2002-07-01,120.9
2002-08-01,121.1
2002-09-01,120.1
2002-10-01,120.6
2002-11-01,121.0
2002-12-01,120.7
2003-01-01,120.9
2003-02-01,120.5
2003-03-01,120.9
2003-04-01,121.1
2003-05-01,121.1
2003-06-01,121.2
2003-07-01,120.4
2003-08-01,119.6
2003-09-01,119.4
2003-10-01,119.2
2003-11-01,118.6
2003-12-01,118.4
2004-01-01,119.8
2004-02-01,121.2
2004-03-01,121.4
2004-04-01,122.9
2004-05-01,124.2
2004-06-01,123.6
2004-07-01,123.5
2004-08-01,124.3
2004-09-01,125.0
2004-10-01,124.3
2004-11-01,124.7
2004-12-01,124.7
2005-01-01,124.1
2005-02-01,123.1
2005-03-01,124.6
2005-04-01,124.6
2005-05-01,125.2
2005-06-01,125.0
2005-07-01,125.7
2005-08-01,126.0
2005-09-01,126.8
2005-10-01,127.3
2005-11-01,128.4
2005-12-01,128.1
2006-01-01,128.8
2006-02-01,130.0
2006-03-01,131.2
2006-04-01,132.8
2006-05-01,133.1
2006-06-01,134.7
2006-07-01,135.1
2006-08-01,136.8
2006-09-01,136.7
2006-10-01,138.3
2006-11-01,138.3
2006-12-01,139.4
2007-01-01,140.7
2007-02-01,141.7
2007-03-01,142.8
2007-04-01,143.8
2007-05-01,144.0
2007-06-01,145.3
2007-07-01,146.5
2007-08-01,147.0
2007-09-01,147.2
2007-10-01,149.3
2007-11-01,151.9
2007-12-01,153.5
2008-01-01,154.8
2008-02-01,155.0
2008-03-01,156.2
2008-04-01,154.0
2008-05-01,158.8
2008-06-01,159.9
2008-07-01,161.6
2008-08-01,163.3
2008-09-01,164.4
2008-10-01,164.3
2008-11-01,165.3
2008-12-01,167.1
2009-01-01,165.1
2009-02-01,164.4
2009-03-01,162.6
2009-04-01,160.8
2009-05-01,160.5
2009-06-01,160.6
2009-07-01,159.6
2009-08-01,158.0
2009-09-01,157.7
2009-10-01,157.4
2009-11-01,156.9
2009-12-01,155.3
2010-01-01,156.5
2010-02-01,156.4
2010-03-01,156.7
2010-04-01,157.6
2010-05-01,158.7
2010-06-01,158.1
2010-07-01,158.4
2010-08-01,159.7
2010-09-01,160.2
2010-10-01,161.5
2010-11-01,161.4
2010-12-01,161.0
2011-01-01,162.7
2011-02-01,164.2
2011-03-01,166.7
2011-04-01,169.6
2011-05-01,170.4
2011-06-01,171.2
2011-07-01,172.7
2011-08-01,173.9
2011-09-01,176.5
2011-10-01,178.0
2011-11-01,178.7
2011-12-01,180.3
2012-01-01,181.3
2012-02-01,182.4
2012-03-01,184.8
2012-04-01,185.5
2012-05-01,186.6
2012-06-01,188.2
2012-07-01,188.7
2012-08-01,189.3
2012-09-01,189.3
2012-10-01,189.1
2012-11-01,189.7
2012-12-01,191.6
2013-01-01,193.2
2013-02-01,194.5
2013-03-01,193.7
2013-04-01,194.3
2013-05-01,193.5
2013-06-01,192.9
2013-07-01,193.1
2013-08-01,193.5
2013-09-01,193.3
2013-10-01,192.6
2013-11-01,193.5
2013-12-01,193.2
2014-01-01,193.9
2014-02-01,195.5
2014-03-01,193.3
2014-04-01,195.2
2014-05-01,196.7
2014-06-01,198.1
2014-07-01,198.5
2014-08-01,198.1
2014-09-01,198.8
2014-10-01,200.8
2014-11-01,200.7
2014-12-01,200.6
2015-01-01,198.8
2015-02-01,197.3
2015-03-01,196.5
2015-04-01,194.7
2015-05-01,194.2
2015-06-01,193.9
2015-07-01,194.5
2015-08-01,193.5
2015-09-01,192.5
2015-10-01,189.9
2015-11-01,188.7
2015-12-01,187.7
2016-01-01,187.3
2016-02-01,185.1
2016-03-01,182.3
2016-04-01,178.5
2016-05-01,174.7
2016-06-01,169.9
2016-07-01,166.8
2016-08-01,164.4
2016-09-01,160.8
2016-10-01,158.6
2016-11-01,157.0
2016-12-01,152.8
2017-01-01,149.4
2017-02-01,148.1
2017-03-01,144.4
2017-04-01,144.9
2017-05-01,144.0
2017-06-01,143.2
2017-07-01,142.5
2017-08-01,141.9
2017-09-01,143.4
2017-10-01,142.1
2017-11-01,141.7
2017-12-01,140.0
2018-01-01,141.2
2018-02-01,140.9
2018-03-01,142.6
2018-04-01,142.8
2018-05-01,143.1
2018-06-01,143.5
2018-07-01,143.2
2018-08-01,142.5
2018-09-01,141.4
2018-10-01,141.2
2018-11-01,141.9
2018-12-01,141.5
2019-01-01,142.3
2019-02-01,143.6
2019-03-01,143.6
2019-04-01,144.3
2019-05-01,144.4
2019-06-01,144.5
2019-07-01,143.1
2019-08-01,143.8
2019-09-01,144.0
2019-10-01,143.6
2019-11-01,142.2
2019-12-01,142.5
2020-01-01,138.8
2020-02-01,137.4
2020-03-01,135.2
2020-04-01,135.3
2020-05-01,133.1
2020-06-01,132.9
2020-07-01,133.7
2020-08-01,134.8
2020-09-01,136.6
2020-10-01,137.7
2020-11-01,139.4
2020-12-01,139.5
2021-01-01,133.0
2021-02-01,132.7
2021-03-01,133.3
