DATE,B2000C1A027NBEA
1959-01-01,1.886
1960-01-01,2.359
1961-01-01,2.393
1962-01-01,2.47
1963-01-01,2.591
1964-01-01,2.669
1965-01-01,2.795
1966-01-01,2.906
1967-01-01,3
1968-01-01,3.159
1969-01-01,3.344
1970-01-01,3.543
1971-01-01,3.675
1972-01-01,3.89
1973-01-01,4.124
1974-01-01,3.953
1975-01-01,4.07
1976-01-01,4.264
1977-01-01,4.387
1978-01-01,4.52
1979-01-01,4.391
1980-01-01,4.097
1981-01-01,4.052
1982-01-01,4.054
1983-01-01,7.948
1984-01-01,8.87
1985-01-01,8.912
1986-01-01,9.194
1987-01-01,8.997
1988-01-01,9.797
1989-01-01,9.47
1990-01-01,10.048
1991-01-01,15.238
1992-01-01,15.543
1993-01-01,15.998
1994-01-01,21.299
1995-01-01,21.186
1996-01-01,22.3
1997-01-01,22.143
1998-01-01,23.428
1999-01-01,23.437
2000-01-01,23.432
2001-01-01,23.301
2002-01-01,23.28
2003-01-01,24.031
2004-01-01,24.193
2005-01-01,25.821
2006-01-01,25.843
2007-01-01,22.485
2008-01-01,19.647
2009-01-01,20.375
2010-01-01,19.475
2011-01-01,18.347
2012-01-01,24.888
2013-01-01,24.774
2014-01-01,25.162
2015-01-01,25.928
2016-01-01,26.402
2017-01-01,26.555
2018-01-01,26.741
2019-01-01,25.908
