Date,GPR,GPR_THREAT,GPR_ACT,GPR_BROAD,GPR_NARROW,,n11,GPR_RAW,GPR_THREAT_RAW,GPR_ACT_RAW,GPR_BROAD_RAW,GPR_NARROW_RAW
Jan-85,69.69,73.40,45.76,89.72,69.40,,28763,103,91,12,243,88
Feb-85,96.56,104.73,53.19,103.40,102.39,,26806,133,121,13,261,121
Mar-85,91.32,86.15,114.77,104.32,96.48,,29624,139,110,31,291,126
Apr-85,73.08,71.29,81.69,104.15,77.44,,32222,121,99,24,316,110
May-85,66.80,65.46,73.37,86.80,69.94,,34380,118,97,23,281,106
Jun-85,106.10,87.57,215.81,117.16,106.10,,31000,169,117,61,342,145
Jul-85,78.57,59.89,166.95,106.49,82.57,,30218,122,78,46,303,110
Aug-85,54.79,48.41,79.92,72.82,57.10,,30191,85,63,22,207,76
Sep-85,62.73,64.66,47.87,76.67,64.74,,29782,96,83,13,215,85
Oct-85,104.88,79.19,239.69,129.72,112.73,,33402,180,114,73,408,166
Nov-85,81.79,82.73,69.83,100.08,85.93,,31411,132,112,20,296,119
Dec-85,68.67,57.38,130.19,93.85,66.57,,30326,107,75,36,268,89
Jan-86,103.33,96.14,163.33,126.18,105.75,,30889,164,128,46,367,144
Feb-86,43.44,38.64,66.06,100.85,43.40,,28222,63,47,17,268,54
Mar-86,78.21,75.66,101.15,135.73,79.20,,30360,122,99,28,388,106
Apr-86,208.88,146.78,614.44,210.92,219.18,,31772,341,201,178,631,307
May-86,108.56,93.47,207.33,130.66,108.26,,32268,180,130,61,397,154
Jun-86,56.41,50.43,90.31,94.09,57.53,,30362,88,66,25,269,77
Jul-86,43.59,39.34,63.16,81.55,44.99,,31256,70,53,18,240,62
Aug-86,60.95,51.90,108.64,95.70,62.34,,31294,98,70,31,282,86
Sep-86,78.70,68.65,133.41,106.14,79.05,,30417,123,90,37,304,106
Oct-86,78.12,73.84,97.49,93.18,79.35,,34876,140,111,31,306,122
Nov-86,71.75,61.82,122.32,106.94,63.95,,32277,119,86,36,325,91
Dec-86,59.11,56.22,74.41,92.30,57.16,,30951,94,75,21,269,78
Jan-87,60.15,50.77,114.00,105.45,56.46,,36559,113,80,38,363,91
Feb-87,68.10,70.27,58.05,103.99,66.70,,34009,119,103,18,333,100
Mar-87,74.75,80.96,41.53,103.70,66.88,,36970,142,129,14,361,109
Apr-87,69.19,70.71,55.70,87.44,72.16,,37408,133,114,19,308,119
May-87,77.46,77.77,71.80,112.91,78.40,,38189,152,128,25,406,132
Jun-87,85.59,85.47,84.56,102.21,84.21,,35017,154,129,27,337,130
Jul-87,66.80,71.87,42.85,106.40,67.73,,35833,123,111,14,359,107
Aug-87,88.93,96.14,52.91,114.23,90.77,,35235,161,146,17,379,141
Sep-87,87.40,95.02,43.37,118.79,79.44,,35405,159,145,14,396,124
Oct-87,72.33,78.78,55.71,120.11,65.50,,37402,139,127,19,423,108
Nov-87,66.42,59.24,97.27,104.18,60.35,,37210,127,95,33,365,99
Dec-87,88.40,90.51,73.35,118.97,92.28,,35887,163,140,24,402,146
Jan-88,66.90,63.81,78.42,118.87,67.37,,36363,125,100,26,407,108
Feb-88,61.32,58.23,70.34,117.56,59.45,,35863,113,90,23,397,94
Mar-88,66.15,52.57,124.26,110.81,65.74,,37953,129,86,43,396,110
Apr-88,69.69,70.20,63.93,106.72,68.00,,36025,129,109,21,362,108
May-88,51.20,46.68,70.72,75.60,44.46,,38771,102,78,25,276,76
Jun-88,54.73,47.80,85.50,82.50,54.31,,35917,101,74,28,279,86
Jul-88,69.12,63.29,99.72,86.30,65.10,,35194,125,96,32,286,101
Aug-88,54.58,53.36,64.60,89.95,47.08,,35655,100,82,21,302,74
Sep-88,46.86,44.04,55.92,63.48,45.62,,35300,85,67,18,211,71
Oct-88,44.37,49.21,20.35,77.71,45.10,,37720,86,80,7,276,75
Nov-88,43.40,35.96,74.56,80.29,42.56,,36774,82,57,25,278,69
Dec-88,78.42,63.83,146.29,102.11,76.27,,35986,145,99,48,346,121
Jan-89,57.99,58.34,66.11,72.25,55.47,,58063,173,146,35,395,142
Feb-89,50.35,52.79,50.31,88.09,52.03,,54496,141,124,25,452,125
Mar-89,48.51,43.28,76.03,79.59,46.43,,60583,151,113,42,454,124
Apr-89,44.38,50.14,18.66,80.96,47.09,,58767,134,127,10,448,122
May-89,74.04,85.92,11.08,89.92,73.31,,59405,226,220,6,503,192
Jun-89,37.40,41.28,15.61,53.48,39.96,,56203,108,100,8,283,99
Jul-89,34.98,35.03,35.49,63.19,34.66,,55631,100,84,18,331,85
Aug-89,60.27,59.60,73.33,72.31,59.47,,56835,176,146,38,387,149
Sep-89,42.62,41.15,47.64,70.93,41.46,,55253,121,98,24,369,101
Oct-89,40.84,44.08,25.37,69.13,37.10,,60527,127,115,14,394,99
Nov-89,49.40,53.79,24.13,80.34,49.14,,59090,150,137,13,447,128
Dec-89,89.33,100.02,36.37,97.68,86.30,,57298,263,247,19,527,218
Jan-90,58.92,65.64,23.59,72.74,55.92,,60443,183,171,13,414,149
Feb-90,59.64,64.82,31.63,81.74,59.69,,55479,170,155,16,427,146
Mar-90,50.71,56.40,20.91,85.39,50.46,,62936,164,153,12,506,140
Apr-90,59.22,64.15,35.88,68.80,57.52,,61128,186,169,20,396,155
