Year,Month,GPRH,GPRHT,GPRHA,,N3H_SW3,GPRH_RAW,GPRHT_RAW,GPRHA_RAW,,N3H_SW3_NYT,GPRH_RAW_NYT,GPRH_NYT
1899,January,72.66,11.18,318.57,,12878,63,8,55,,4692,25,57.03
1899.08333333333,February,67.26,10.37,294.83,,12144,55,7,48,,4254,20,50.32
1899.16666666666,March,45.69,12.15,190.29,,13328,41,9,34,,4700,14,31.88
1899.24999999999,April,34.67,2.80,162.51,,12852,30,2,28,,4412,16,38.81
1899.33333333332,May,52.28,19.15,183.20,,12215,43,13,30,,4464,18,43.16
1899.41666666665,June,41.54,18.18,133.30,,12870,36,13,23,,4696,15,34.19
1899.49999999998,July,36.38,11.34,135.75,,14287,35,9,26,,4859,8,17.62
1899.58333333331,August,23.65,13.03,70.19,,13816,22,10,13,,5104,9,18.87
1899.66666666664,September,61.68,33.06,178.74,,12520,52,23,30,,4586,21,49.01
1899.74999999997,October,90.44,24.97,379.49,,12973,79,18,66,,4517,29,68.72
1899.8333333333,November,57.94,9.64,251.08,,13072,51,7,44,,4748,19,42.83
1899.91666666663,December,47.22,18.21,161.71,,13838,44,14,30,,4734,14,31.65
1899.99999999996,January,72.29,15.80,297.61,,12532,61,11,50,,5236,28,57.24
1900.08333333329,February,58.41,19.31,213.37,,11187,44,12,32,,4432,18,43.47
1900.16666666662,March,54.39,4.39,254.96,,12288,45,3,42,,5000,15,32.11
1900.24999999995,April,45.40,12.23,183.69,,11776,36,8,29,,4951,15,32.43
1900.33333333328,May,53.73,9.09,232.22,,11885,43,6,37,,4806,12,26.72
1900.41666666661,June,98.10,25.91,397.94,,11809,78,17,63,,4931,23,49.92
1900.49999999994,July,109.74,22.67,476.03,,11909,88,15,76,,4800,38,84.73
1900.58333333327,August,70.95,18.94,283.85,,12351,59,13,47,,5310,18,36.28
1900.6666666666,September,35.27,6.11,151.86,,11789,28,4,24,,5008,7,14.96
1900.74999999993,October,30.14,9.13,113.52,,11828,24,6,18,,4797,11,24.54
1900.83333333326,November,23.53,7.50,87.07,,11994,19,5,14,,4907,10,21.81
